date,rf,mkt_rf,smb,hml,mom
2018-11-06,0.00000328,0.00669994,-0.00313794,0.00353894,0.00148779
2018-11-07,0.00000328,0.01619815,-0.00751649,0.00378258,-0.00720284
2018-11-08,0.00000328,0.00200580,-0.00605328,0.00206588,0.00390417
2018-11-11,0.00001011,-0.00202533,0.00304984,0.00523006,0.00709044
2018-11-12,0.00000233,-0.00547756,0.00087071,-0.00281177,-0.00129648
2018-11-13,0.00000353,0.00277576,-0.00132267,0.00714251,-0.00283284
2018-11-14,0.00000357,-0.00684858,0.00389488,0.00101780,-0.00183511
2018-11-15,0.00000362,-0.00255417,-0.00722232,-0.00270473,0.00355353
2018-11-18,0.00001464,0.00224517,0.00111705,-0.00262213,-0.00224620
2018-11-19,0.00000380,-0.00197736,0.00142556,0.00171020,-0.00117032
2018-11-20,0.00000385,-0.01585075,0.00120226,-0.00499592,0.00007230
2018-11-21,0.00000390,0.00404251,-0.00225290,0.00284661,-0.00406841
2018-11-22,0.00000395,-0.00624070,0.00255259,-0.00056742,0.00570759
2018-11-25,0.00001200,-0.00474260,0.00854660,-0.00020619,-0.00214809
2018-11-26,0.00000417,0.01222581,-0.01097406,0.00115615,0.00380444
2018-11-27,0.00000704,0.00114813,-0.00218863,-0.00401976,0.00461028
2018-11-28,0.00000714,0.00790151,-0.00890872,0.00536152,0.01436927
2018-11-29,0.00000725,-0.00260488,0.00267737,0.00257020,-0.00347146
2018-12-02,0.00002206,0.01328048,-0.00425211,-0.00109010,0.00021365
2018-12-03,0.00000462,0.00134046,-0.00202822,-0.00194156,-0.00291911
2018-12-04,0.00000469,-0.01214844,0.00456450,-0.00128833,-0.00203929
2018-12-05,0.00000635,0.00507616,-0.00515613,-0.00244407,0.00349364
2018-12-06,0.00000645,-0.02398176,0.00464244,0.00232121,0.00250732
2018-12-09,0.00001581,-0.00230168,-0.00140120,-0.00112643,0.00137898
2018-12-10,0.00000698,-0.00863023,-0.00317477,-0.00794110,0.00122306
2018-12-11,0.00000706,0.00603550,-0.00657936,0.00053265,0.00194484
2018-12-12,0.00000715,0.00030701,-0.00386906,-0.00340792,0.00707206
2018-12-13,0.00000723,0.00144028,0.00182762,0.00380986,0.00296105
2018-12-16,0.00002196,-0.01738721,0.00235304,0.00158237,0.00692823
2018-12-17,0.00000760,-0.00394596,-0.00578557,-0.00229694,0.00602475
2018-12-18,0.00000769,-0.00941239,-0.00291605,0.00073181,0.00364801
2018-12-19,0.00000779,0.00487207,-0.00125317,0.00514162,0.00800010
2018-12-20,0.00000921,-0.02003108,-0.00225400,0.00639729,0.00416697
2018-12-23,0.00002401,-0.04903528,-0.00152474,-0.00246674,0.00336387
2018-12-24,0.00000556,-0.02053220,0.00510841,-0.00598164,-0.00487032
2018-12-25,0.00000845,0.01805544,-0.00611405,-0.00006878,0.00414906
