date,rf,mkt_rf,smb,hml,mom
2023-08-31,0.00387454,-0.01374198,-0.00609916,0.03222199,0.06942057
2023-09-28,0.00346897,-0.00086369,-0.00682341,0.03601684,0.03034491
2023-10-31,0.00403800,-0.12057502,-0.03047435,-0.05254368,0.05033824
2023-11-30,0.00364365,0.07763151,-0.00107615,0.05915855,-0.05305984
2023-12-31,0.00373267,0.05330461,0.03584735,0.02786554,-0.04933831
2024-01-31,0.00360333,-0.01171809,0.03270112,-0.01706075,0.03937549
2024-02-29,0.00335025,0.06212869,0.00544717,-0.01012126,0.02110704
2024-03-31,0.00346980,0.02866517,-0.00969019,0.00773156,0.02949623
2024-04-30,0.00346598,-0.03840130,0.02907241,-0.01333301,0.02459730
2024-05-30,0.00348536,-0.00486120,-0.01598652,-0.01061115,0.02917228
2024-06-30,0.00361709,-0.03093525,-0.00550297,0.01358533,0.02502733
2024-07-31,0.00359106,0.02798415,0.00210756,0.01884111,-0.01676875
2024-08-29,0.00333310,0.04165917,0.00249453,0.04320413,0.00386730
2024-09-30,0.00369213,0.01498735,0.00724813,0.01865064,0.01297200
2024-10-31,0.00360505,0.04870675,0.00109830,0.00863042,-0.00601144
2024-11-28,0.00326661,0.03623107,0.03657852,0.02764490,-0.01761289
2024-12-31,0.00386495,0.06025951,-0.00513909,0.00982776,-0.00204181
2025-01-30,0.00346121,0.02318819,0.03101714,-0.00620480,0.02816084
2025-02-27,0.00326217,0.01185180,0.00417886,0.00202599,0.02205506
2025-03-31,0.00371037,-0.04613811,-0.05888672,0.00447661,0.02409898
2025-04-29,0.00337645,0.04343733,-0.00112610,-0.00276631,0.00582530
2025-05-29,0.00346698,0.06316502,0.00127250,0.01604420,0.05615422
2025-06-30,0.00373923,0.10454756,-0.01686333,0.02125055,0.03445800
2025-07-31,0.00357862,0.01501531,0.00342885,-0.01692917,0.04170528
2025-08-31,0.00356974,0.00930911,-0.01838591,0.00771967,0.04278761
2025-09-30,0.00344596,0.03241064,-0.00492032,-0.00579804,-0.01061048
2025-10-30,0.00340551,0.02536136,0.00829804,0.02726838,-0.00572307
2025-11-30,0.00347090,0.03744798,-0.01383107,-0.00725237,0.05100485
2025-12-31,0.00337210,0.05200282,-0.01122722,-0.01475849,0.05932484
2026-01-30,0.00311238,0.07674125,-0.00933247,-0.03801900,0.07361716
2026-02-27,0.00280528,0.01588269,-0.05238481,0.02551675,0.06055293
2026-03-31,0.00327107,-0.02381775,-0.01164847,0.06933724,-0.00136939
2026-04-30,0.00308568,0.07032957,-0.00551665,0.02060142,0.05761658
2026-05-29,0.00295783,0.02222597,0.03235997,-0.01913475,0.10672183
2026-06-30,0.00299263,-0.09622760,0.01897533,-0.01541470,-0.07157285
2026-07-31,0.00274745,0.01953328,-0.01345607,0.01770876,-0.00913008
2026-08-31,0.00275583,-0.01049754,-0.02837473,0.06771092,-0.05611728
